"pNo","condition","congruency","wordShown","correctResp","trialnum","resp","acc","rt","include","mentaldemand","effort","frustration","bored","fatigue","acs","implicitWillpower","bigFiveCon","bsc","srsq"
14,"control","congruent","yellow","yellow",111,"yellow",1,502,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",112,"red",1,512,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","yellow","yellow",113,"yellow",1,839,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",114,"blue",1,522,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","red","yellow",115,"yellow",1,846,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","red","blue",116,"blue",1,545,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","blue","red",117,"red",1,548,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",118,"red",1,572,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","yellow","red",119,"red",1,642,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","yellow","blue",120,"blue",1,919,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",121,"blue",1,532,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","yellow","yellow",122,"yellow",1,731,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",123,"blue",1,658,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
