"pNo","condition","congruency","wordShown","correctResp","trialnum","resp","acc","rt","include","mentaldemand","effort","frustration","bored","fatigue","acs","implicitWillpower","bigFiveCon","bsc","srsq"
5,"control","congruent","yellow","yellow",117,"yellow",1,971,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",118,"red",1,654,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",119,"yellow",1,698,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",120,"blue",1,848,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",121,"yellow",1,737,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","yellow","blue",122,"blue",1,909,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",123,"red",1,774,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",124,"blue",1,795,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","blue","yellow",125,"yellow",1,745,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","blue","red",126,"red",1,1010,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","incongruent","yellow","red",127,"red",1,1063,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","blue","blue",128,"blue",1,3365,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","red","red",129,"red",1,728,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
5,"control","congruent","yellow","yellow",130,"yellow",1,783,1,3.4,2.9,1.9,2.6,3.1,0,2.16666666666667,2.77777777777778,2.23076923076923,2.9
